tweet,location,Airline,Class
"بعد تاجيل طيران ناس لرحله اربع مرات 
انشد الشاعر 

حقيقه طيران ناس يوجع الراس 

من المسءول عن عدم وضع حد لهذه ا…",,Fly Nas,Negative
لو سمحتم عندي مشكلع بقالها اكتر من اسبوع مع طيران ناس وفشلت في حلها معاكو جدا حجز طيران اتسحب مبلغ بالكامل عن طريق الويب سايت وفشلتو انكم تزودوني بالحجز برجاء حل مشكلتي لان الوضع صعب بالتعامل,Egypt,Fly Nas,Negative
طيران ناس ارخص ب,RUH,Fly Nas,Positive
"لاسف طيران اصبح سيء لغايه
راجع اول تغريده لي في اكتوبر والان نحنفي اكتوبر يعني ٢٠ يوم مانتهت مشكلتي
ياطيران ناس واله انكم تنفرون العملاء واصبح طيران ناس الكل يشتكي منه
٢٠ يوم ماعندكم حل
لاريد حجز ولا حتي افكر احجز مره اخري
اريد فقط ارجاع حقي من قبلكم",,Fly Nas,Negative
السلام عليكم لقد حجزت طيران ناس الموافق اكتوبر من جده ل ابها و تم سحب المبلغ مرتين و رفعت طلب منذ ايام ولم يتم استرداد المبلغ ارجو التجاوب و شكرا,,Fly Nas,Negative
يفوز طيران ناس ب اقرف طيران مكن انك تروح فيه,الرياض,Fly Nas,Negative
في مطار القاهره طيران ناس اعطونا غداء في الصاله,المملكة العربية السعودية,Fly Nas,Nutral
طيران ناس فنان,,Fly Nas,Positive
"افضل شركه طيران سافرت معهم السعوديه وطيران الامارات 
والاسوا طيران ناس",,Fly Nas,Negative
فعلا تاخر داءم ع الرحلات وسعار عاليه وخدمات صفر اسوءطيرانفلايناس,,Fly Nas,Negative
"انت يعني قاعد تدافع عن فلاي ناس 
احنا مضحوك علينا وسلامتك لا تقنعني بعيد العيد اله لا يوفقهم حجز من المدينه لشرقيه ١٥٠ ذهاب فقط علي طيران اقتصادي واله ما صارت بالعالم كله",,Fly Nas,Negative
وقت البكاء اله لا يسامح طيران ناس,"Makkah Al Mukarrama, Tabuk ",Fly Nas,Negative
اذا بتكلم عن اسوء طيران فهو واسوء وسيط طيران وفنادق ومو اول مره يسونها المسافر ناس الغو الرحله والمسافر قالو نعوضك برحله تاريخ اكتوبر بعد ساعات وما ارسلو لي لا التذكره ولا اصعب شي التواصل معهم اثنينهم عندي عامل بتنتهي اقامته ٣١ اكتوبر وبعدها اجد له,Riyadh,Fly Nas,Negative
الخطوط السعوديه رقم واحد افضل شي ثم طيران ناس بس تري نظام باص يوديك بس ونصيحه لا تاخذ درجه بريميوم,  تابعني اتابعك  ,Fly Nas,Negative
"اسوا طيران
طيران ناس مافيه شبكه ولا يقبل الا بالريال ولاتقدر تدفع باي عمله ثانيه حتي لو كانت رحلتك من برا وراجع لملكه هذا غير نوعيه الطيارات
الطيران التركي خدمه سيءه

افضل طيران
الخطوط السعوديه خدمه ولا افضل منها كل شي يقدمونه لك مقاعد مريحه
الاتحاد
الخطوط القطريه",,Fly Nas,Negative
طيران ناس لدي حقيبه وصلت متضره مكسوره علي احدي رحلاتكم من الرياض الي جده وتم عمل الازم عند الوصول وتوثيق الحادثه وتعبءه نموذج المطالبه بالامتعه برقم تمت مراجعه القسم المختص اكثر من مره عن طريق الهاتف وعن طريق البريد الالكتروني ولم يفيدوني ارجو التعويض,,Fly Nas,Negative
"يا جماعه تركنا رحله طيران ناس مضطرين بعد تاجيلها لاربع مرات وغادرنا لرياض

فقلت ابياتا اسميتها 

عتاب بن رداس لطير…",,Fly Nas,Negative
"افضل طيران بالنسبه لي بالترتيب 
القطريالاماراتالاتحاد العماني 
التجاري 
فلاي دبي
العربيه
السلام 
ناس",لندن,Fly Nas,Negative
"طيران ناس بسب متسع المساحه بين المقعد وظهر المقعد الامامي 
 الخطوط السعوديه فلاي دبي",المملكة العربية السعودية,Fly Nas,Positive
الاسوء علي الاطلاق طيران ناس,,Fly Nas,Negative
راسلنا علي الخاص جمله مظله لحل المشاكل بلا نتيجه حسبنا اله ونعم الوكيل طيراناس,"الرياض, المملكة العربية السعود",Fly Nas,Negative
"لمعلوميه كراسي طيران ناس الاقتصاديه
 اريح من السعوديه بمليون درجه
السعوديه ماوصل الا ظهري منحني ورقبتي توجعني","دبي, الامارات العربية المتحدة",Fly Nas,Positive
"طيران ناس الي متي مهازل التاخير والاستهتار بحقوق الراكب
الان مهزله خارجيه في مطار القاهره لرحله القاهره الدمام والمسءول نايم في العسل",Dammam,Fly Nas,Negative
وضع المسافرين الان بمطار القاهره من بعد الساعه العاشره مساء بالامس وحتي الان بلا معرفه عما يحدث او سيحدث او يتم تعويضه الياين طيران ناس,,Fly Nas,Negative
بالتوفيق لهم… طيراناس من تقدم الي تقدم و ان الاوان ان يتوسعوا بشكل اكبر,"Jeddah, Kingdom of Saudi Arabia",Fly Nas,Positive
طيران ويز عن تجربه ما اعيدها ثانيه ومن تجارب عملاءنا نفس الشي صحيح طيران اقتصادي لكن فيه طيران ناس افضل منه بكثير,Kingdom of Saudi Arabia,Fly Nas,Positive
اهديكم يا طيران ناس واديل خارطه لطريقه التفكير في تطوير خدماتكم ولعل غيري لديه هديه افضل من ذلك بكثيرلكن هذا الذي معي…,Jeddah,Fly Nas,Negative
من فضلك حجزت رحله علي طيران ناس من القاهره ولاسف التاشيره ماطلعت هل استطيع الغناء الحجز وجزاكم اله خيرا,"مكة المكرمة, المملكة العربية السعودية",Fly Nas,Nutral
طيران ناس يعتبر طيران اقتصادي يعني المنافس له اديل و طيران الخليج البحريني و طيران الشارقه وطيران الجزيره الكويتي,,Fly Nas,Nutral
ناس اسوء شركه طيران جربتها في حياتي,,Fly Nas,Negative
طيران ناس يرحم امكم رجعوا لي فلوسي ما ابي رصيد,مدينة البياض,Fly Nas,Negative
"كيف ناس اسوا طيران 
اديل وين راحت",المملكة العربية السعودية,Fly Nas,Nutral
"بصراحه طيران ناس من تجربه قصيره وخاصه خارجيا مواعيد منضبطه واسعار معقوله وناس لايمنع ان تاخذ قاروره ما ء معك اذا عطشت مع اني اراها غير محرجه فمن يسافر بطاءره لايعجزه ثمن ماء
كلا حر بفلوسه مادام طيران اقتصادي موضوع خارج نطاق الاهميه تحياتي",,Fly Nas,Positive
ي حليله شكله م يعرف طيران ناس,,Fly Nas,Nutral
"اسوا موقف لما تركبين طيران ناس والرحله بدون وجبه لكن الي حجز لك الرحله طلب لك وجبه غداء خاصه كل الطياره تشمها 
وتجلس جنبك وحده ما عندها وجبه 
عجزت افتح وجبتي قدامها كنت مستحيه اكل جنبها",,Fly Nas,Positive
محكمه الكاس لبعض الناس مثل طيران ناس,,Fly Nas,Nutral
تذكرت اول مره احجز طيران وحجزت لي صديقتي قالت تبين طيران ناس ولا الطيران السعودي قلت لا ابي مع الناس مو لحالي ليتني قايله…,المملكة العربية السعودية,Fly Nas,Nutral
لا اجل بنمشيها بتركبين طيران ناس بس لا تعيدينها,,Fly Nas,Negative
"اذا تبي تسافر ب ارخص تذكره لازم تعرف ارخص خطوط حول العالم 

•طيران ريان اير 
•طيران ناس 
•طيران اديل
•طيران الجزيره
•طيران بيغاسوس
•طيران ويزاير
•طيران العربيه 
•طيران فلاي دبي

السفرالاقتصادي 

سياحه","Tabuk, Kingdom of Saudi Arabia",Fly Nas,Positive
"متاكدين من الخبر ه 
عزاله هذي جاءزه مضروبه ولا عندها سالفه
ازق طيران ناس واديل في المطارات السعوديه لا وفاء في الرحلات ومواعيد مضروبه وموظفين لاسف من العهد الحجري ولا عندهم فن تعامل مع الجمهور",,Fly Nas,Negative
"مو بس تاخير فقدنا شنطه عندهم ورجعوها بعد شهر وعشرين يو بعد بهدله ومصاريف رايحين جاين عليهم وفي رحله العوده ضيعوا علينا ٣ تذاكر بسب تعنت الموظفين وكنا عند الكونتر قبل الرحله بنص ساعه ماعندهم ضمير ولا رحمه ومعاملتهم سيءه جدا
اسوءطيرانفلايناس",,Fly Nas,Negative
لان هذي الرحله تكون ترانزيت عن طريق طيران الخليج الطيران البحريني و اصلا ما فيه رحلات من الدمام لبحرين عن طريق الخطوط المحليه السعوديه ناس,Al Khobar/Riyadh,Fly Nas,Negative
"اهديكم يا طيران ناس واديل خارطه لطريقه التفكير في تطوير خدماتكم ولعل غيري لديه هديه افضل من ذلك بكثيرلكن هذا الذي معيلديكم
المكان وهو الطاءره
قوي عامله
نظام
ادوات مسانده
جوده
لديكم مساحه هاءله لتطوير في كل مفصل من هذه المفاصلفي المسار التنفيذي

 
تكفون","مكة المكرمة, المملكة العربية ا",Fly Nas,Negative
اغلي طيران ناس شلون طلعت معهم انها منخفضت التكلفه,,Fly Nas,Negative
افضل طيران اقتصادي والاسعار الي نشوفها في تطبيق طيران ناس وش تسمونها,Kingdom of Saudi Arabia,Fly Nas,Negative
سءال هل طيران ناس سيءين فعلا زي م الناس بتقول,October💙,Fly Nas,Nutral
حجزت تذكره من تبطيق طيران ناس واخترت تاريخ الذهاب والعوده و لما رجعت لتفاصيل الحجز تاريخ حجز العوده طالع تاريخ مختلف,,Fly Nas,Nutral
مايحتاج يضيف ريال ياسعاده الدكتور انا مستعده مع كل رحله من رحلاتهم الداخليه اوفر لهم كراتين مويه وعلي عد الركاب ياناس هذي قيم واخلاق ومبادء تربينا عليها افضل الصدقات سقياء الماء مع العلم ان الركاب ماهم في حاجه صدقه من طيراناس لكن شوي ذوق اذا كان فعلا يعطون احد ويخلون احد,,Fly Nas,Negative
طيران ناس زباله شنطه السفر بتاعتي ضاعت وعملت بلاغ وانا في المطار لم يتم الرد عليا ولا حياه لمن تنادي تواصلت معاكم في جميع التواصل الاجتماعي والاتصال وكل مكان مفيش رد,,Fly Nas,Negative
عزيزي المسافر خذ معك قاروره ماء ولا تكل علي طيران ناس فتموت من الظما,,Fly Nas,Negative
مواطن يشكي من طيران ناس بقصيده يقول فيها معانته,,Fly Nas,Negative
"ك خدمه الكويتيه افضل بكثير الجزيره ارخص 
الجزيره طيران اقتصادي
نفس الفرق بين الاماراتيه وفلاي دبي او الخطوط السعوديه مع ناس",الكويت,Fly Nas,Nutral
احري سبعميه ريال ادفعها في حياتي طيران ناس معفن و عواليق,"Makkah Al Mukarrama, Kingdom of Saudi Arabia",Fly Nas,Negative
"الشركه هي اولي بالوم ان كانت توزع الماء علي ركاب معينين 
يبيعون قارورهقنينه الماء الصغيره بخمسه ريالاتكما سمعت
الناس شركاء في الكلا والماء والهواء الا عند طيران ناس
كان المفروض تلام علي سياستها السابقه
والرجوع عن الخطا واجب وعدم الرجوع يعد من الخوارم","جدة, المملكة العربية السعودية",Fly Nas,Negative
اسوء طيران عرفته علي مستوي العالم هو طيران ناس مواعيد غير حقيقيه والخدمه اتوقع ان اتوبيسات الهنود افضل,المملكة العربية السعودية,Fly Nas,Negative
"اتمني ايجاد حل لشركه طيران ناس وضع نظام صارم يجبرهم علي الاقلاع بنفس توقيت الرحلات مع العلم ان هذه الحاله تكرت وتكر بشكل يومي ومايكلفون انفسهم بارسال مسجات لركاب لابلاغهم بتاخر الرحله 

الرحله بتقلع الساعه حسب الحجز ولغايه الان جالسين نتظر بالمطار","الخبر,المملكة العربية السعودية",Fly Nas,Negative
"تاجلت رحلتنا من الساعه ٣ عصرا الي ٥ ثم ٦ ثم ٨ مساء ومعنا موعد ٩ اليل بالرياض

اضطرنا نترك رحلتنا ونحجز علي الخطوط اقرب رح…",#الجيش_السلماني,Fly Nas,Negative
نفس الحاله ٣شنط ماوصلت لسعوديه وانا جايه من اسطنبول عن طريق طيران ناس وقالو بعد اربع وعشرين ساعه نتواصل معكم والي الان ماحد اتصل,KSA,Fly Nas,Negative
ما هي طريقه رفع الشكوي علي طيران ناس,الاردن,Fly Nas,Negative
"الاهم من الاسم 
توفر طيران ناس و اديل 
الرحلات مع الخطوط السعوديه لا تحتمل بالمبالغ المهوله",,Fly Nas,Nutral
وانت الصادق هذا ما يعيب طيران ناس,,Fly Nas,Negative
بس دايم طيران ناس يحب الترانزيت يمكن تنزل بالاردن ثم علي العلا,,Fly Nas,Negative
فلاي ناس طيران صاعد ويستحق كل تشجيع ولكن بعض التجارب تجعلك تفكر اكثر من مره في الحجز عليه تذكرتي من اسطنبول لم تكن رخ…,,Fly Nas,Negative
يالعار والشنار ان كان هذا صنيع شركه ناس مقابل اعطاء الماء بالاسماء وبالعامي اما عاد يسونها الحمدله عمري ماركبت اي طاءره من طيران ناس,الدمام,Fly Nas,Negative
رحلتي لاسطنبول علي طيران ناس ولا غبار عليها في الذهاب او الاياب من مطار صبيحه واحمد اله انه موب في مطار اتاتورك او اسطنبول لكبر حجمهماما ازعجني هو زياده الوزن التي لم اضيفها في التذكره ودفعت عليها ضعف مالو اضفتها اون لاين ويوجد موظفين لتنظيم الطابورفي رحله العوده ١٩ اكتوبر,"الرياض, المملكة العربية السعود",Fly Nas,Positive
محطه طيران ناس اسطنبول تحتاج مشرف سعودي الا اذا كان موجود ولا نعرف عموما سالت عن المشرف ايا كانت جنسيته فقيل لي لا يوجد,Riyadh,Fly Nas,Negative
